"legacy_key","destination_uuid","city","branch","directory_listed"
"الرياض::حي الحمراء","f396f569-91b4-458f-89f5-cb153c3bd3cf","الرياض","حي الحمراء","true"
"الرياض::حي ظهرة لبن","ed277749-0c9f-4f2b-b935-31b66025d6bd","الرياض","حي ظهرة لبن","true"
"الرياض::حي الأندلس","476d75b7-9df2-405f-89a9-e2c57e3fcd51","الرياض","حي الأندلس","true"
"الدمام::حي الزهور 1","2b4c2e6b-4686-4466-a885-c963a1f2b9fc","الدمام","حي الزهور 1","true"
"الدمام::حي الزهور 2","ae16f8ed-ece5-4d14-b7e8-568ed0673c03","الدمام","حي الزهور 2","true"
"الدمام::حي الشاطئ الغربي","c41a9200-ed0e-44bf-b1e1-4441da6c20e8","الدمام","حي الشاطئ الغربي","true"
"حفر الباطن::حي الواحة","88f55ebc-7860-4bf0-980a-2e8652e8d0b4","حفر الباطن","حي الواحة","true"
"حفر الباطن::حي المصيف","ce9cad38-df59-4dc6-a3a9-efb377a5137e","حفر الباطن","حي المصيف","true"
"خميس مشيط::حي الظرفة","5d08b813-a798-4eaa-9d73-a3ffc52ae0d3","خميس مشيط","حي الظرفة","true"
"خميس مشيط::سكوير","47fdbc4a-6518-4433-804f-e2a81989e6d5","خميس مشيط","سكوير","true"
"خميس مشيط::حي الضيافة","5c9f9a3d-7cf0-433f-b7ef-13eda5ef7d0d","خميس مشيط","حي الضيافة","true"
"المدينة المنورة::فرع المدينة المنورة","7f76fbd8-d2ee-4125-af9b-5b2bb33653ba","المدينة المنورة","فرع المدينة المنورة","true"
"سكاكا / الجوف::فرع سكاكا","a6405935-f76f-405b-bbd2-1973741d4894","سكاكا / الجوف","فرع سكاكا","true"
"الدمام::فرع الدمام","4f807140-8c78-4d06-991f-29c02f8dfc39","الدمام","فرع الدمام","false"
"الدمام::حي الشاطئ","4d9f3f70-093a-456c-bd80-90ef61674ce8","الدمام","حي الشاطئ","false"
"الدمام::حي الزهور","c2860195-ac90-4cd4-86d5-5d8e07bf91af","الدمام","حي الزهور","false"
