"legacy_id","destination_uuid","program_source_id","branch_legacy_key","study_mode","gender","price","source_index"
"off-1","5d896f69-d94f-4b48-b1af-43fe5dcc0ecd","law","الرياض::حي الحمراء","onsite","female","13000","0"
"off-2","30373575-c88b-4e94-8fa5-ff1cfbe5d1db","hospital","الرياض::حي الحمراء","onsite","female","16000","1"
"off-3","ae6ed39a-3e20-4692-bde6-7c9184fc19f5","cyber","الرياض::حي الحمراء","onsite","both","13000","2"
"off-4","88aa031f-f04d-4679-84e8-e4d1a7f02aa1","law","الرياض::حي ظهرة لبن","onsite","male","13000","3"
"off-5","0f59b0f8-2e1d-4501-8683-2e0837f28b02","hospital","الرياض::حي ظهرة لبن","onsite","male","16000","4"
"off-6","8663672a-0864-4c52-baa3-e99eaf1929b2","hr","الرياض::حي ظهرة لبن","onsite","male","8999","5"
"off-7","87999635-32a4-4614-a473-7a68c0984945","office-diploma","الرياض::حي ظهرة لبن","onsite","male","8999","6"
"off-8","f89ab9b8-21c5-4013-91fc-9a3c4585fc95","nursing","الرياض::حي الأندلس","onsite","both","20000","7"
"off-9","559ee07e-5a0a-4f75-a611-427667ab12df","hospital","الرياض::حي الأندلس","onsite","male","16000","8"
"off-10","9147fcb8-f84e-4dee-b984-515301896267","safety","الرياض::حي الأندلس","onsite","male","13000","9"
"off-11","67ea89b1-0d9d-4e44-bb58-1a0b3a215620","cx","الرياض::حي الأندلس","onsite","both","10500","10"
"off-12","50bb8c14-45fd-42c4-92aa-c2e4bdb7323e","hr","الرياض::حي الأندلس","online","male","7999","11"
"off-13","2c0b2267-4641-42cd-a883-7fe7c4cc9d97","law","الدمام::حي الزهور 1","onsite","male","13000","12"
"off-14","a5481f41-5613-4e9b-964f-8bb7909aac2f","hospital","الدمام::حي الزهور 1","onsite","male","16000","13"
"off-15","a9ef0766-a7db-4db2-bf08-0de0ee630370","cyber","الدمام::حي الزهور 1","onsite","male","13000","14"
"off-16","9859d378-4ce0-44d1-9ba4-685a64d94f7e","nursing","الدمام::حي الزهور 1","onsite","male","20000","15"
"off-17","ff13af6a-9f21-4c79-bd83-ea6ca8713dc1","safety","الدمام::حي الزهور 1","onsite","male","13000","16"
"off-18","70a0ed49-5d41-4ee6-8bdc-7ff23eae8e61","business","الدمام::حي الزهور 1","onsite","male","8999","17"
"off-19","9bae2ce3-a01d-4e5b-98f1-14561eff7cdd","ai","الدمام::حي الزهور 1","onsite","male","14000","18"
"off-20","efd0641e-0aab-4410-9569-6836bb718b1a","hospital","الدمام::حي الزهور 2","onsite","female","16000","19"
"off-21","70a90ec9-7270-41a6-b0ba-19adaaa1741c","nursing","الدمام::حي الزهور 2","onsite","female","20000","20"
"off-22","05f75b3e-662f-4b16-a516-606d4c6a2a17","cyber","الدمام::حي الزهور 2","onsite","female","13000","21"
"off-23","53590778-e1a8-4c3d-b815-bf4f8e7d07be","law","الدمام::حي الزهور 2","onsite","female","13000","22"
"off-24","99500912-25e4-4750-9f9a-22c6652ef1bb","hr","الدمام::حي الشاطئ الغربي","onsite","male","8999","23"
"off-25","88cd6ecc-0b06-48b4-8599-6c75a20f89a8","office-diploma","الدمام::حي الشاطئ الغربي","onsite","male","8999","24"
