"source_id","destination_uuid","name","slug"
"law","6b44bf43-92f1-4524-9301-10a664d7b678","دبلوم القانون","law"
"hospital","c7d87d01-518d-4b3f-b605-5c487efde3fb","دبلوم إدارة المستشفيات والخدمات الصحية","hospital-management"
"nursing","470f35fc-0831-4ecb-910a-f919c5311659","دبلوم إدارة التمريض","nursing-management"
"cyber","fae41a87-565d-49b9-84c1-8e28a3ad8aac","دبلوم الأمن السيبراني","cybersecurity"
"ai","36bb6ea3-400d-4ffe-af76-e0d4fa2bb47a","دبلوم الذكاء الاصطناعي","artificial-intelligence"
"safety","9f381dc8-010a-4f7c-bb4b-de59bd53119a","دبلوم إدارة السلامة","safety-management"
"business","65dca600-6946-404b-b1bc-c19cc3b4965f","دبلوم إدارة الأعمال","business-administration"
"hr","1d3b13e4-9a92-454e-9c97-93118f5e4e9d","دبلوم إدارة الموارد البشرية","human-resources"
"office-diploma","a15623dc-90a0-428c-9725-f92d786bba5c","دبلوم الإدارة المكتبية","office-management"
"cx","0ef61529-6f9d-49be-9a30-a098130b0cf3","دبلوم إدارة تجربة العميل","customer-experience"
"accounting","9d9e185e-1370-4c0a-ba00-342489b3a914","دبلوم المحاسبة","accounting"
"q-office-3","62aad8ef-653c-452b-9a9f-e28db56c5189","دورة الإدارة المكتبية","office-course"
"q-office-6","1fd7ec2b-63a0-412c-b205-af78db335323","الإدارة المكتبية المتقدمة","advanced-office-course"
"q-data","507277fc-8cdc-46bf-86ec-eb6ba88d7a29","إدخال بيانات ومعالجة نصوص","data-entry"
"q-computer","ed177b3a-65a0-455a-8980-fd801c872421","استخدام الحاسب الآلي في الأعمال المكتبية","computer-office"
"q-office-11","b6e21838-6cb1-486b-b671-62ec7d7c2a67","الإدارة المكتبية","office-management-11-months"
"q-archive-3","8f3375dd-5b04-41f8-9f72-aacc5bb50444","مقدمة في الأرشفة الإلكترونية","electronic-archiving-intro"
"q-archive-6","e18ba0f7-0ec6-480e-9292-5841d5b8c7fc","الأرشفة الإلكترونية المتقدمة","advanced-electronic-archiving"
"english-1","d689cc9d-2c7f-4da9-b140-8d7676f23edf","اللغة الإنجليزية، المستوى الأول","english-level-1"
"english-2","93420345-fca8-4cdb-8e46-8e38183fad44","اللغة الإنجليزية، المستوى الثاني","english-level-2"
"english-3","e134de15-ea9e-4e3c-859c-444c8dd96f7a","اللغة الإنجليزية، المستوى الثالث","english-level-3"
"english-4","2cf1dd20-45c2-4ba3-a914-d2aa04800f80","اللغة الإنجليزية، المستوى الرابع","english-level-4"
"d-computer-intro","eeba1f2b-7987-48ca-9cb5-6e54c9bbad95","مقدمة في الحاسب الآلي","computer-intro"
"d-typing-skills","8176dc65-b1e1-4f97-b273-18493f7f3223","التدريب على مهارات الطباعة","typing-skills"
"d-priorities","69da55fc-9b46-42f8-85b2-dc458e4f5fe5","إدارة الأولويات","priorities"
"d-success-strategies","09ee1d59-7850-41ac-bf25-ac59afe3259a","استراتيجيات النجاح","success-strategies"
"d-office-basics","1438d189-49c4-44f9-932e-6dff59b7b612","المهارات الأساسية في الإدارة المكتبية","office-basics"
"d-personal-governance","bade39c7-5244-4e2c-a307-2a95bfe64efb","المعارف والمهارات في الحوكمة الشخصية","personal-governance"
"d-program-project-management","b427e1a0-5cd1-40ab-9f6d-ef40ef6400e2","إدارة البرامج والمشاريع","program-project-management"
"d-financial-resources","f72aadaa-a428-4dfe-9995-f98694140a2d","تنمية الموارد المالية","financial-resources"
"d-hr-basics","d0a93404-8ddd-41e7-a7b1-0a3e85b838de","أساسيات إدارة الموارد البشرية","hr-basics"
"d-osha","0fb4fee7-9507-4bc6-bfcb-45d9c289433e","السلامة والصحة المهنية OSHA","osha"
"d-electronic-archiving","d3bfd253-6c71-4e05-957e-5107d76f9179","الأرشفة الإلكترونية","electronic-archiving"
"d-computer-skills-1","74ccbcf3-bdaf-4d79-b87c-799caa2eeba4","مهارات الحاسب الآلي، المستوى الأول","computer-skills-1"
"d-computer-skills-2","d6c468d3-5cad-425f-86b6-04dda99b1f0d","مهارات الحاسب الآلي، المستوى الثاني","computer-skills-2"
"d-computer-skills-3","707e83d4-a964-45eb-b5bf-41bdae01324d","مهارات الحاسب الآلي، المستوى الثالث","computer-skills-3"
"d-computer-apps","54883341-35c8-42ae-a103-24e099bb7fd1","تطبيقات الحاسب الآلي","computer-apps"
